verdict,worth,soundness,soundness_score,rubric_coverage,audited_at,unknowns,repo_url,id,name,url,event,event_org,domain,subsystem,moves,stack,coolness,engagement,validation,event_prestige,recency,specificity,signal_richness,redundancy,likes,award,depth,has_deep,event_date,harvested_at,provenance,why_not_promoted,would_settle_it
,,,,,,,,before-i-tell,Before I Tell,https://devpost.com/software/before-i-tell,Hack for Humanity | Summer 2026,Hack for Humanity,"Health, Care & Human Performance",Mental Health & Wellbeing,make-the-invisible-measurable,,0.3123,0.220,0.100,0.467,0.978,0.320,0.280,0.097,,Unknown,listing,0,2026-09-04,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,school-pulse,School Pulse,https://devpost.com/software/school-pulse,Hack for Humanity | Summer 2026,Hack for Humanity,"Health, Care & Human Performance",Mental Health & Wellbeing,,,0.3123,0.220,0.100,0.467,0.978,0.400,0.280,0.191,,Unknown,listing,0,2026-09-04,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,cine_agent-py,CineAgent AI,https://devpost.com/software/cine_agent-py,Agentic Cinema: The Blockbuster Hackathon,Google,Agentic Autonomy & Orchestration,Multi-Agent Crews,crew-of-specialists,,0.3119,0.220,0.100,0.704,0.986,0.220,0.280,0.267,,Unknown,listing,0,2026-09-09,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,dermascan-ai-y1m9si,DermaScan-AI,https://devpost.com/software/dermascan-ai-y1m9si,Hack for Humanity | Summer 2026,Hack for Humanity,"Health, Care & Human Performance",Screening & Diagnostics,narrow-domain-deep-model|offline-first-fallback,,0.3101,0.220,0.100,0.467,0.978,0.320,0.280,0.115,,Unknown,listing,0,2026-09-04,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,behaviorlab-2w3fev,BehaviorLab,https://devpost.com/software/behaviorlab-2w3fev,Hack for Humanity | Summer 2026,Hack for Humanity,Agentic Autonomy & Orchestration,Agent Guardrails & Gating,,,0.3070,0.220,0.100,0.467,0.978,0.260,0.280,0.071,,Unknown,listing,0,2026-09-04,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,lumina-study-buddy,Lumina Study Buddy,https://devpost.com/software/lumina-study-buddy,Agentic Cinema: The Blockbuster Hackathon,Google,Learning & Knowledge Systems,Tutors & Adaptive Learning,deterministic-guardrail,,0.3068,0.220,0.100,0.704,0.986,0.000,0.280,0.053,,Unknown,listing,0,2026-09-09,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,beyond-the-plate-50ft3p,Beyond the Plate,https://devpost.com/software/beyond-the-plate-50ft3p,Hack for Humanity | Summer 2026,Hack for Humanity,Emerging & Cross-Domain,Unclassified,,bluetooth,0.3045,0.220,0.100,0.467,0.978,0.230,0.280,0.057,,Unknown,listing,0,2026-09-04,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,pocket-rpmhd9,Pocket Apps,https://devpost.com/software/pocket-rpmhd9,All Things Agentic Hackathon,Google,Emerging & Cross-Domain,Unclassified,,,0.3007,0.220,0.100,0.732,0.973,0.000,0.280,0.125,,Unknown,listing,0,2026-08-31,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,cineflow-zb1rla,CineFlow (logistics),https://devpost.com/software/cineflow-zb1rla,Agentic Cinema: The Blockbuster Hackathon,Google,"Creative Media, Story & Play",Generative Video & Audio,,,0.2974,0.220,0.100,0.704,0.986,0.000,0.280,0.130,,Unknown,listing,0,2026-09-09,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,cinema-os,Cinema OS,https://devpost.com/software/cinema-os,Agentic Cinema: The Blockbuster Hackathon,Google,Agentic Autonomy & Orchestration,General,,,0.2959,0.220,0.100,0.704,0.986,0.000,0.280,0.143,,Unknown,listing,0,2026-09-09,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,here-with-you-local-wellbeing-companion,Here With You,https://devpost.com/software/here-with-you-local-wellbeing-companion,Hack for Humanity | Summer 2026,Hack for Humanity,Agentic Autonomy & Orchestration,Agent Guardrails & Gating,deterministic-guardrail|offline-first-fallback,,0.2937,0.220,0.100,0.467,0.978,0.180,0.280,0.088,,Unknown,listing,0,2026-09-04,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,beside-f9l6ca,Jera,https://devpost.com/software/beside-f9l6ca,Hack for Humanity | Summer 2026,Hack for Humanity,"Health, Care & Human Performance",Mental Health & Wellbeing,verification-first,,0.2919,0.220,0.100,0.467,0.978,0.180,0.280,0.103,,Unknown,listing,0,2026-09-04,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,neuroecho,NeuroEcho,https://devpost.com/software/neuroecho,Hack for Humanity | Summer 2026,Hack for Humanity,Accessibility & Assistive Tech,Motor & Cognitive Access,deterministic-guardrail,,0.2917,0.220,0.100,0.467,0.978,0.180,0.280,0.105,,Unknown,listing,0,2026-09-04,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,neuropace-ai,NEUROPACE-AI,https://devpost.com/software/neuropace-ai,Hack for Humanity | Summer 2026,Hack for Humanity,"Health, Care & Human Performance",Screening & Diagnostics,,,0.2917,0.220,0.100,0.467,0.978,0.180,0.280,0.105,,Unknown,listing,0,2026-09-04,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,adaptfit,AdaptFit,https://devpost.com/software/adaptfit,Hack for Humanity | Summer 2026,Hack for Humanity,"Health, Care & Human Performance",Recovery & Rehabilitation,,,0.2899,0.220,0.100,0.467,0.978,0.180,0.280,0.120,,Unknown,listing,0,2026-09-04,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,aevora-pm9ru8,Aevora,https://devpost.com/software/aevora-pm9ru8,Hack for Humanity | Summer 2026,Hack for Humanity,"Health, Care & Human Performance",Care Navigation & Records,,,0.2878,0.220,0.100,0.467,0.978,0.180,0.280,0.138,,Unknown,listing,0,2026-09-04,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,neuro-pulse-dtx,NeuroPulse DTx - Clinical SaMD for Concussion Recovery,https://devpost.com/software/neuro-pulse-dtx,Hack for Humanity | Summer 2026,Hack for Humanity,"Health, Care & Human Performance",Screening & Diagnostics,narrow-domain-deep-model,,0.2872,0.220,0.100,0.467,0.978,0.180,0.280,0.143,,Unknown,listing,0,2026-09-04,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,accomplish,ACComplish,https://devpost.com/software/accomplish,Hack for Humanity | Summer 2026,Hack for Humanity,Learning & Knowledge Systems,Tutors & Adaptive Learning,,,0.2840,0.220,0.100,0.467,0.978,0.080,0.280,0.053,,Unknown,listing,0,2026-09-04,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,cinepilot-ai,CinePilot AI,https://devpost.com/software/cinepilot-ai,Agentic Cinema: The Blockbuster Hackathon,Google,Agentic Autonomy & Orchestration,Multi-Agent Crews,,,0.2811,0.220,0.100,0.704,0.986,0.000,0.280,0.267,,Unknown,listing,0,2026-09-09,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,memory-atlas-encfmw,Memory Atlas,https://devpost.com/software/memory-atlas-encfmw,Hack for Humanity | Summer 2026,Hack for Humanity,"Data, Retrieval & Memory Infrastructure",Persistent Memory,,,0.2665,0.220,0.100,0.467,0.978,0.000,0.280,0.105,,Unknown,listing,0,2026-09-04,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,oculupi,Oculupi,https://devpost.com/software/oculupi,Hack for Humanity | Summer 2026,Hack for Humanity,"Health, Care & Human Performance",Screening & Diagnostics,,,0.2607,0.220,0.100,0.467,0.978,0.000,0.280,0.154,,Unknown,listing,0,2026-09-04,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
